"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19"
"1" 3657.93328660771 3967.95147263043 3556.05520916686 3747.30676113521 3947.94837170347 3637.74622112031 3844.50980614216 3639.51799226734 3760.93492791769 3734.08108238735 3811.7563981267 4328.39673271443 4337.95003585623 4070.40942392569 3815.92383543341 4225.46803669744 4133.40016061199 4006.94015204004 4459.92541055078
"2" 3140.18408517829 3755.96345045217 3360.85657777129 3617.33291776041 3503.01611878349 3613.9551039493 3879.55178606025 4048.59365007828 3686.60575592158 3702.26183581655 3704.90444392706 3915.82633170351 4161.29837640765 4002.29127380072 4303.52591702123 3912.91276019186 3855.00997550662 4092.81676994375 4156.28231013197
"3" 3354.39530674987 3404.99625288406 3551.44586179066 3194.77597944605 3409.23393626081 3375.48454260291 3634.90237580932 3450.19548817152 3606.64398987242 3860.33320399695 3586.24738218704 3944.20381843525 3445.42931327402 3951.85755100134 3802.13754101285 3633.36100536984 4220.48011667209 3722.71738518348 3541.56289923757
"4" 3359.55121185953 3553.4336813214 3324.98213794789 3426.79898104392 3153.37805494275 3424.64588254646 3608.95724577356 3586.91558624533 3661.85371452107 3356.17920868202 3642.59755146909 3814.29923133982 3553.95393570932 3646.00175073297 3707.99525011797 3950.72243651269 3807.60761047586 4027.23883215822 3767.44042965564
"5" 3563.58520916432 3244.29169719065 3339.69117049326 3495.95074976964 3409.56483355535 3610.39781585574 3268.91711827543 3429.51070166446 3390.6519717854 3519.51769428125 3710.98333840192 3470.09308102219 3541.25865651424 3898.20006508595 3861.4020144938 3904.39899232312 3687.00225153261 3929.11943634009 3667.02053883065
"6" 3494.70599483796 3519.64097758502 3623.79768283834 3317.07502168964 3471.72022039496 3297.80990205247 3195.12172452721 3343.7734747733 3795.53156122197 3439.41887953058 3650.41368406854 3559.06486773295 3619.97889845565 3761.47395222215 3729.50275857998 3787.94605658096 3708.54117801643 3745.77469010956 3649.88457912982
"7" 3514.55988228322 3526.91205551453 3518.60763564435 3333.42703074017 3320.10728028069 3698.92080131882 3364.81883497638 3274.95020250857 3152.82041660198 3636.67330317116 3364.62083703714 3459.74910333446 3836.16316439793 3685.37360465907 3925.57508610392 3881.45169151687 3562.63472442379 3710.51125455542 3804.18550929199
"8" 3727.0348451039 3431.03530792715 3418.6637855837 3584.18343889571 3118.94988629045 3262.41910710384 3557.92785873352 3295.03512572049 3223.83414136864 3160.60675663275 3571.67157041614 3542.4094228041 3480.90363137889 3381.22284894386 3654.94429359166 3687.70557139877 3638.0705917469 3580.13122287353 3544.83680758038
"9" 3924.12424549089 3567.26860923047 3644.54014236053 3218.45920864543 3448.15827042512 3113.31569296985 3366.52128175087 3276.48026325153 3534.7157584093 3384.39498416141 3532.17676452395 3636.82626157107 3584.32707623677 3685.41211748854 3862.03260172828 3564.03045627371 3817.00063978705 3865.20713374379 3911.52298879239
"10" 3899.74083414284 3620.86811635866 3261.84103753741 3417.11643556558 3402.54741597095 3104.37192350653 3082.5657117752 3369.17980065578 3477.87006712001 3363.79172064035 3369.13153865205 3530.98149835821 3918.73090001097 3444.10248354548 3516.21156476395 3525.08565677993 3524.61512786843 3679.6886260327 3500.62712067234
"11" 3619.06860228582 3700.23063391229 3840.84717572787 3332.16287590732 3524.88745333209 3488.25566261539 3294.5532638876 3002.53905887271 3328.24572286814 3340.72172151281 3451.99258075832 3231.21314225417 3250.43467935052 3378.97911189419 3309.05468833628 3442.39360873483 3307.82470021411 3339.56624905243 3479.31579138441
"12" 4174.96303273619 3678.24536691699 3668.91742272468 3973.34868230821 4016.7728453568 3496.26326340928 3278.05429935881 3410.2064405381 3410.71756908733 3317.41650098934 3113.54623370028 3297.60984199738 3221.97018534004 3361.97260689482 3279.71519418547 3457.93442207464 3338.22841917448 3226.67840314307 3274.30204733773
"13" 4138.51288681373 3977.13398237127 3467.18764356713 3749.47987786905 3788.14563580416 3799.45218112849 3270.49930507472 3495.48280614742 3814.89255134497 3980.86907660633 3235.4083720167 3458.27233911061 3422.02290604699 3225.82365905944 3100.26191186816 3179.41894644129 3201.4042888748 3223.82195569671 3288.98242310237
