
"1",20,"Magic stones only change the shape of normal stones to their shapes."
"2",44,"Seems like the the magic stone changes the shape of the other stone, but not the color it already is."
"3",51,"It changes into the shape on the left while retaining color on right"
"4",52,"the stone that is changed will end up having a similar shape as the magic stone but it's color won't change."
"5",71,"The magic stone turns the normal stone into the same shape as the magic one"
"6",80,"eventually decided it kept the same color, but switched to the shape of the magic one"
"7",84,"The magic stone changed all to the shape it is."
"8",92,"Changes the shape to the magic stone shape but keeps the original non magical color? "
